region_complete,lat,long
Condrieu  ,45.462270,4.768670
Vin de Pays de Sainte-Marie la Blanche  ,46.977780,4.889520
Aglianico del Vulture  ,40.862470,15.732500
Saint-Nicolas-de-Bourgueil  ,47.284270,0.127170
Umpqua Valley Southern Oregon,6.134170,80.227900
Conero  ,43.440390,13.579540
Alto Valle de Uco  ,13.705830,-87.725000
Crémant de Limoux  ,43.054320,2.213200
Chianti Superiore  ,46.721630,-92.103950
Chalk Hill Sonoma,38.589202,-122.766804
Valdobbiadene Superiore di Cartizze  ,45.894472,12.033883
Colli Pesaresi  ,43.403920,13.436910
Campi Flegrei  ,40.823160,14.193910
Cucamonga Valley South Coast,33.701870,-117.880680
Conegliano Valdobbiadene Prosecco Superiore  ,45.890560,12.303260
Emilia-Romagna  ,44.525915,11.039203
Monterey-Santa Barbara Central Coast,36.439739,-121.318288
Corton Vergennes  ,44.167500,-73.252840
Albemarle County  ,38.022844,-78.556584
Viré-Clessé  ,46.715940,-0.405420
Nuits-St.-Georges  ,47.137820,4.949990
Coteaux du Languedoc Pic Saint Loup  ,43.622260,3.815690
Montefalco Rosso  ,-26.015780,28.014610
Crémant de Bordeaux  ,44.735710,-0.371540
Vin de Pays des Collines Rhodaniennes  ,8.128982,2.208592
Premieres Côtes de Bordeaux  ,44.836700,-0.581070
Finca Élez  ,38.889415,-2.649155
Dolcetto d'Asti  ,42.935710,-81.316610
Santa Clara Valley Central Coast,37.335533,-121.978271
Columbia Valley-Walla Walla Valley Columbia Valley,3.379530,-74.805787
Mâcon-Milly Lamartine  ,46.350973,4.698683
Pavia  ,45.193050,9.151300
Sangiovese di Toscana  ,43.545080,11.315610
Strathbogie Ranges-Mornington Peninsula  ,-36.900000,145.750000
Bourgogne  ,51.151420,3.022400
Uco Valley  ,32.843960,-85.180930
Pemberton  ,-34.444870,116.034550
Noto  ,36.889970,15.076200
Rosso di Montalcino  ,43.055160,11.491290
Catamarca  ,-28.487350,-65.785210
Vin Santo di Carmignano  ,43.814250,11.019410
Chianti Rufina  ,43.827290,11.490340
San Luis Obispo Central Coast,35.289514,-120.657539
Coonawarra  ,-12.429510,130.912620
Eden Valley  ,45.322510,-94.547280
Saint-Chinian  ,43.422200,2.946420
Lambrusco di Sorbara  ,44.751672,11.008796
Sicilia  ,37.500000,14.000000
Lazio  ,41.975682,12.772625
Mount Benson  ,-37.100600,139.809600
Sangiovese di Romagna Superiore  ,44.500000,12.250000
Virginia's Eastern Shore  ,36.855758,-76.031242
Manchuela  ,39.520490,-1.169260
Gaillac  ,43.900280,1.897370
Haut-Médoc  ,45.000000,-0.833330
Lake County Mendocino/Lake Counties,38.972513,-122.670262
Vin de Liqueur  ,8.043280,98.809330
Pomino  ,43.815080,11.550330
Francs Côtes de Bordeaux  ,44.774670,-0.410690
McLaren Vale-Adelaide Hills  ,-34.931578,138.611198
Utiel-Requena  ,39.521845,-1.158406
Barbera d'Asti Superiore Nizza  ,44.810327,8.297474
Savigny-lès-Beaune  ,47.060900,4.825140
Kangaroo Island  ,-35.823900,137.333920
Mâcon-Fuissé  ,46.277261,4.762040
Chianti Colli Fiorentini  ,42.139660,14.301190
Pays de Loire  ,47.477659,-0.817864
Toro  ,10.063990,9.070010
Madera Central Valley,36.967785,-120.076135
Valpolicella Ripasso  ,45.548040,10.937060
Missouri  ,38.367983,-92.477747
Cerasuolo di Vittoria  ,36.972823,14.551657
Vino de la Tierra de Castelló  ,40.453416,0.447865
Terrasses du Larzac  ,44.747150,1.006820
Custoza  ,45.372860,10.795000
Carneros-Napa Valley Napa,38.255624,-122.343894
Colli di Rimini  ,44.097190,12.523389
Castilla La Mancha  ,39.581032,-3.004514
Mâcon-Mancey  ,39.741765,-92.463225
Clarendon  ,17.992167,-77.279922
Terre di Chieti  ,43.215300,13.337410
Arizona  ,34.293016,-111.664754
Uclés  ,39.980810,-2.861640
Mendocino-Amador California Other,39.307620,-123.798920
Barossa-Langhorne Creek  ,-35.312180,139.128640
Niagara-On-The-Lake  ,43.255390,-79.072120
Barsac  ,44.609340,-0.313910
Rosso del Veronese  ,45.191910,11.553940
Currency Creek-McLaren Vale  ,-35.483330,138.833330
Red Hills Lake County Mendocino/Lake Counties,39.309501,-123.790507
Carneros Napa-Sonoma,38.225030,-122.457383
Roccamonfina  ,41.292610,13.985070
Yecla  ,38.614550,-1.115010
Medrano  ,-33.181180,-68.615610
Bordeaux Rosé  ,44.855270,-0.570325
Humboldt County North Coast,40.116627,-123.813574
Terra Alta  ,-1.038020,-47.906440
Luján de Cuyo  ,-33.039330,-68.879180
Graves  ,31.770170,-84.515290
Happy Canyon of Santa Barbara Central Coast,4.697720,-74.041430
Chignin-Bergeron  ,44.891450,-0.478360
Beaujolais  ,29.785760,-90.768150
Vin de Pays de Vaucluse  ,44.012713,5.185350
Blanquette de Limoux  ,43.053109,2.221360
Curtefranca  ,44.573360,24.928380
Tarantino  ,42.997571,-87.997893
Vino de la Tierra de Zamora  ,41.256110,-5.711450
Colline Teatine  ,46.526530,6.630640
Châteauneuf-du-Pape  ,44.050370,4.835590
Colli Aprutini  ,41.617010,13.528780
South Coast  ,33.701870,-117.880680
Orvieto Classico  ,42.722210,12.131620
Carignano del Sulcis  ,44.000210,12.662690
Agrelo  ,-33.116100,-68.888760
River Junction Central Valley,32.782551,-85.171670
San Lucas Central Coast,-33.356811,151.441399
Ladoix  ,47.072480,4.876770
Bourgogne Côtes d’Auxerre  ,47.791190,3.581190
McLaren Vale  ,-35.215500,138.538140
Quarts de Chaume  ,47.312900,3.027890
Chalone Central Coast,-33.423740,151.342500
Muscadet Côtes de Grandlieu  ,47.869970,2.514070
Moscato di Pantelleria  ,36.831850,11.943620
Terre del Volturno  ,42.263275,-71.791186
Torgiano  ,43.028620,12.440390
Napa Valley Napa,38.299250,-122.292020
Madiran  ,43.549350,-0.057080
King Valley  ,40.683280,-112.046050
Faro  ,37.014870,-7.934240
Tupungato  ,-33.364420,-69.144010
Pyrenees  ,12.133330,-61.666670
Dolcetto di Diano d'Alba  ,44.654120,8.026450
Lanzarote  ,19.671670,-99.335000
Barbera d'Alba  ,41.705093,-76.821956
Colli Asolani Prosecco  ,45.708010,13.733770
Tasmania  ,-42.000000,146.750000
Venezie  ,44.902800,11.976760
Rosso di Montepulciano  ,43.098200,11.785320
Marca Trevigiana  ,42.557970,-3.051725
Fleurieu Peninsula  ,-35.500000,138.500000
Corton Perrières  ,48.959370,-0.134920
Rivesaltes  ,42.770720,2.874000
Prosecco  ,45.708010,13.733770
Long Island ,23.112500,-75.087005
Quincy  ,42.252320,-71.004190
Dolcetto di Dogliani Superiore  ,44.532160,7.945590
Tavel  ,44.012270,4.696950
Clos Saint-Denis  ,-20.892660,55.471040
Vittoria  ,-4.622770,55.452290
Corse Porto Vecchio  ,41.592740,9.278620
Piave  ,28.774720,-111.373560
